Country,Year,Gross demand,Gross production,Final consumption
Angola,2017,10922.375,11187.375,9715.375
Angola,2016,10105.0,10379.0,8938.0
Angola,2015,9524.0,9783.0,8424.0
Angola,2014,9246.0,9497.0,8178.0
Angola,2013,8013.0,8231.0,7087.0
Angola,2012,6051.0,6218.0,5352.0
Angola,2011,5512.0,5662.0,4875.0
Angola,2010,5313.0,5459.0,4686.0
Angola,2009,4498.0,4743.0,4024.0
Angola,2008,3948.0,4163.0,3532.0
Angola,2007,3056.0,3221.0,2611.0
Angola,2006,3141.0,3307.0,2733.0
Angola,2005,2492.0,2633.0,2110.0
Angola,2004,2121.0,2240.0,1796.0
Angola,2003,1889.0,1995.0,1601.0
Angola,2002,1671.0,1765.0,1413.0
Angola,2001,1551.0,1638.0,1313.0
Angola,2000,1368.0,1445.0,1157.0
Angola,1999,1265.0,1335.0,1070.0
Angola,1998,1249.0,1318.0,1056.0
Angola,1997,1083.0,1146.0,967.0
Angola,1996,982.0,1028.0,690.0
Angola,1995,918.0,960.0,645.0
Angola,1994,913.0,955.0,642.0
Angola,1993,909.0,950.0,639.0
Argentina,2022,153474.0,146315.0,124413.0
Argentina,2021,151480.0,153778.7,129064.0
Argentina,2020,144977.848,144924.34,124521.896
Argentina,2019,152542.0,145990.0,125619.0
Argentina,2018,157656.0,152224.0,128744.0
Argentina,2017,151981.0,145618.0,129001.0
Argentina,2016,152774.0,146353.0,128781.0
Argentina,2015,151181.0,145363.0,129122.0
Argentina,2014,144048.0,138551.0,126243.0
Argentina,2013,143211.0,140868.0,120922.0
Argentina,2012,138179.0,135207.0,119850.0
Argentina,2011,134694.0,129892.0,115990.0
Argentina,2010,129565.0,125594.09,112757.0
Argentina,2009,124368.0,122348.08,106381.0
Argentina,2008,123319.0,121927.0,107046.0
Argentina,2007,111061.0,107711.0,97617.0
Argentina,2006,113709.0,115197.0,98681.0
Argentina,2005,107395.0,107053.0,90276.0
Argentina,2004,100663.0,100260.0,85247.0
Argentina,2003,94839.0,92609.0,79567.0
Argentina,2002,88359.0,85055.0,74162.0
Argentina,2001,89330.0,90324.0,75898.0
Argentina,2000,87640.0,89200.0,74512.0
Argentina,1999,83634.0,81177.0,70871.0
Argentina,1998,79963.0,74456.0,67920.0
Argentina,1997,75237.0,73015.0,63032.0
